,word,count
638,visit,70
639,dead,233
640,bodi,353
641,neighbour,30
642,lie,95
643,mark,98
644,next,78
645,school,76
646,girl,114
647,amicu,36
648,curia,22
649,entir,209
650,origin,233
651,group,135
652,compli,56
653,forens,39
654,statutori,82
655,violat,124
656,anil,26
657,let,67
658,list,148
659,econom,30
660,noth,111
661,step,90
662,rajasthan,82
663,ram,213
664,sale,593
665,bigha,28
666,sinc,332
667,cultiv,18
668,continu,184
669,injunct,53
670,annex,20
671,revenu,142
672,entri,106
673,spot,114
674,reveal,72
675,cogniz,155
676,frame,241
677,note,279
678,conclud,90
679,area,133
680,loss,82
681,department,97
682,enquiri,190
683,divis,288
684,instead,59
685,higher,43
686,respons,88
687,attend,42
688,qua,40
689,site,58
690,delinqu,28
691,ought,82
692,disciplinari,91
693,avail,192
694,perus,186
695,appar,51
696,absolut,84
697,therebi,93
698,render,130
699,simultan,21
700,discuss,88
701,appoint,198
702,claim,432
703,inasmuch,52
704,fix,117
705,employ,107
706,exchang,72
707,send,71
708,manufactur,70
709,meet,151
710,june,66
711,prima,105
712,faci,110
713,warrant,101
714,restrain,34
715,whatsoev,46
716,abus,115
717,authoris,44
718,pray,94
719,paper,61
720,seizur,80
721,stay,135
722,appli,189
723,vacat,33
724,class,96
725,book,82
726,destroy,18
727,alter,47
728,necessari,286
729,enter,208
730,believ,105
731,corpor,156
732,agent,97
733,secretari,116
734,associ,48
735,custodi,169
736,determin,141
737,implead,35
738,protect,240
739,west,55
740,bengal,39
741,subject,212
742,condit,245
743,cooper,61
744,seek,163
745,owner,180
746,attorney,100
747,settlement,64
748,dispossess,18
749,occupi,25
750,para,111
751,event,132
752,perman,29
753,mandatori,55
754,titl,144
755,advers,55
756,abolit,15
757,reform,18
758,good,232
759,allahabad,63
760,perpetu,21
761,relief,134
762,entertain,75
763,tenant,92
764,altern,25
765,rightli,106
766,prasad,85
767,consolid,25
768,schedul,196
769,custom,132
770,duti,371
771,penalti,125
772,import,162
773,licenc,58
774,rate,85
775,aver,86
776,suppress,65
777,export,60
778,levi,62
779,short-levi,23
780,refund,60
781,specifi,70
782,mis-stat,20
783,paragraph,123
784,entitl,228
785,subsequ,170
786,develop,191
787,charge-sheet,134
788,�the,112
789,though,266
790,plot,86
791,emerg,41
792,indic,171
793,cast,162
794,tribe,65
795,sc,139
796,ten,61
797,night,74
798,devi,163
799,rape,120
800,brij,15
801,amend,208
802,acquir,137
803,permiss,139
804,hold,310
805,portion,87
806,co-accus,58
807,prayer,132
808,extract,44
809,seller,22
810,staff,23
811,sanction,123
812,wholli,46
813,hereinabov,33
814,februari,78
815,reduc,51
816,threaten,50
817,kaur,63
818,nirmal,21
819,plead,104
820,went,171
821,includ,317
822,year,281
823,statu,91
824,pornographi,19
825,access,20
826,ministri,51
827,affair,39
828,recommend,60
829,mechan,29
830,particularli,79
831,oral,72
832,comprehens,32
833,propos,102
834,col,18
835,readi,93
836,acquitt,158
837,residenti,32
838,ratan,22
839,toward,112
840,rush,26
841,see,211
842,turn,77
843,around,58
844,blow,71
845,bag,71
846,knife,44
847,constabl,46
848,benefit,195
849,maharashtra,68
850,identif,49
851,apprehend,27
852,parad,24
853,identifi,108
854,instanc,126
855,cloth,70
856,liberti,97
857,forthwith,86
858,unless,138
859,puran,22
860,ask,110
861,morn,35
862,fire,54
863,neither,102
864,supplementari,47
865,unknown,26
866,admit,166
867,diari,65
868,long,65
869,credenc,16
870,societi,153
871,highest,14
872,perform,241
873,bring,100
874,thereund,45
875,jail,79
876,dowri,74
877,shanti,38
878,kumari,46
879,cash,32
880,marriag,112
881,unnatur,11
882,accompani,55
